Entity,Country,DeathRate
Mental and substance use disorders,Germany,10.02
Mental and substance use disorders,India,2.35
Mental and substance use disorders,Indonesia,0.81
Mental and substance use disorders,Japan,1.79
Mental and substance use disorders,Malaysia,2.26
Mental and substance use disorders,Philippines,2.47
Mental and substance use disorders,Singapore,0.51
Mental and substance use disorders,Thailand,4.64
Mental and substance use disorders,UK,5.70
Mental and substance use disorders,US,14.93
Mental and substance use disorders,Viet Nam,1.98
Neurological conditions,Australia,78.19
Neurological conditions,Canada,87.57
Neurological conditions,China,44.87
Neurological conditions,South Korea,28.44
Neurological conditions,France,99.49
Neurological conditions,Germany,88.59
Neurological conditions,India,15.78
Neurological conditions,Indonesia,24.62
Neurological conditions,Japan,41.75
Neurological conditions,Malaysia,24.81
Neurological conditions,Philippines,4.87
Neurological conditions,Singapore,3.93
Neurological conditions,Thailand,63.71
Neurological conditions,UK,149.91
Neurological conditions,US,102.12
Neurological conditions,Viet Nam,38.13
Sense organ diseases,Australia,0.05
Sense organ diseases,Canada,0.03
Sense organ diseases,China,0.00
Sense organ diseases,South Korea,0.00
Sense organ diseases,France,0.08
Sense organ diseases,Germany,0.03
Sense organ diseases,India,0.00
Sense organ diseases,Indonesia,0.00
Sense organ diseases,Japan,0.01
Sense organ diseases,Malaysia,0.00
Sense organ diseases,Philippines,0.05
Sense organ diseases,Singapore,0.05
Sense organ diseases,Thailand,0.00
Sense organ diseases,UK,0.05
Sense organ diseases,US,0.03
Sense organ diseases,Viet Nam,0.00
Cardiovascular diseases,Australia,182.55
Cardiovascular diseases,Canada,175.48
Cardiovascular diseases,China,317.10
Cardiovascular diseases,South Korea,347.24
Cardiovascular diseases,France,221.57
Cardiovascular diseases,Germany,419.38
Cardiovascular diseases,India,195.60
Cardiovascular diseases,Indonesia,250.87
Cardiovascular diseases,Japan,280.79
Cardiovascular diseases,Malaysia,173.07
Cardiovascular diseases,Philippines,225.70
Cardiovascular diseases,Singapore,145.57
Cardiovascular diseases,Thailand,181.11
Cardiovascular diseases,UK,228.68
Cardiovascular diseases,US,259.87
Cardiovascular diseases,Viet Nam,182.21
Respiratory diseases,Australia,48.65
Respiratory diseases,Canada,51.28
Respiratory diseases,China,66.47
Respiratory diseases,South Korea,124.40
Respiratory diseases,France,48.01
Respiratory diseases,Germany,71.83
Respiratory diseases,India,76.82
Respiratory diseases,Indonesia,39.72
Respiratory diseases,Japan,90.05
Respiratory diseases,Malaysia,20.20
Respiratory diseases,Philippines,40.89
Respiratory diseases,Singapore,15.38
Respiratory diseases,Thailand,44.65
Respiratory diseases,UK,76.04
Respiratory diseases,US,76.65
Respiratory diseases,Viet Nam,32.39
Digestive diseases,Australia,25.04
Digestive diseases,Canada,29.66
Digestive diseases,China,19.70
Digestive diseases,South Korea,25.14
Digestive diseases,France,38.43
Digestive diseases,Germany,49.52
Digestive diseases,India,38.50
Digestive diseases,Indonesia,52.24
Digestive diseases,Japan,45.30
Digestive diseases,Malaysia,20.71
Digestive diseases,Philippines,21.69
Digestive diseases,Singapore,12.14
Digestive diseases,Thailand,41.74
Digestive diseases,UK,43.54
Digestive diseases,US,36.67
Digestive diseases,Viet Nam,29.67
Genitourinary diseases,Australia,15.09
Genitourinary diseases,Canada,14.21
Genitourinary diseases,China,15.16
Genitourinary diseases,South Korea,14.62
Genitourinary diseases,France,16.35
Genitourinary diseases,Germany,36.46
Genitourinary diseases,India,23.01
Genitourinary diseases,Indonesia,19.42
Genitourinary diseases,Japan,34.66
Genitourinary diseases,Malaysia,15.77
Genitourinary diseases,Philippines,25.66
Genitourinary diseases,Singapore,28.29
Genitourinary diseases,Thailand,52.11
Genitourinary diseases,UK,16.05
Genitourinary diseases,US,26.70
Genitourinary diseases,Viet Nam,18.80
Skin diseases,Australia,2.15
Skin diseases,Canada,1.35
Skin diseases,China,0.52
Skin diseases,South Korea,0.51
Skin diseases,France,2.05
Skin diseases,Germany,1.94
Skin diseases,India,1.00
Skin diseases,Indonesia,1.27
Skin diseases,Japan,1.47
Skin diseases,Malaysia,3.17
Skin diseases,Philippines,1.87
Skin diseases,Singapore,3.22
Skin diseases,Thailand,5.71
Skin diseases,UK,3.10
Skin diseases,US,1.61
Skin diseases,Viet Nam,1.48
Musculoskeletal diseases,Australia,5.52
Musculoskeletal diseases,Canada,4.91
Musculoskeletal diseases,China,1.52
Musculoskeletal diseases,South Korea,1.50
Musculoskeletal diseases,France,6.70
Musculoskeletal diseases,Germany,4.81
Musculoskeletal diseases,India,3.72
Musculoskeletal diseases,Indonesia,0.66
Musculoskeletal diseases,Japan,5.19
Musculoskeletal diseases,Malaysia,0.88
Musculoskeletal diseases,Philippines,1.67
Musculoskeletal diseases,Singapore,2.05
Musculoskeletal diseases,Thailand,2.32
Musculoskeletal diseases,UK,7.02
Musculoskeletal diseases,US,4.53
Musculoskeletal diseases,Viet Nam,0.45
Congenital anomalies,Australia,3.00
Congenital anomalies,Canada,2.97
Congenital anomalies,China,3.08
Congenital anomalies,South Korea,5.05
Congenital anomalies,France,2.96
Congenital anomalies,Germany,2.54
Congenital anomalies,India,7.94
Congenital anomalies,Indonesia,6.62
