country,id,allCauses,"Communicable, maternal, perinatal and nutritional conditions",Noncommunicable diseases,Injuries
United Arab Emirates,ARE,163,11,125,27
United Kingdom,GBR,912,70,810,32
United Republic of Tanzania,TZA,736,411,242,83
United States of America,USA,870,45,768,57
Uruguay,URY,951,72,807,71
Uzbekistan,UZB,545,56,456,32
Vanuatu,VUT,487,92,361,34
Venezuela (Bolivarian Republic of),VEN,573,65,399,110
Viet Nam,VNM,580,66,448,66
Yemen,YEM,631,181,357,93
Zambia,ZMB,752,456,220,77
Zimbabwe,ZWE,803,439,265,99
